gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
0610010K14Rik	200.090402559905	0.252543233743623	0.227538901628802	1.10989036132209	0.267046274456358	0.621738220873858
0610030E20Rik	885.474395904406	-0.127883691906855	0.204027688504043	-0.626795768968981	0.530793117320243	0.822305434674039
0610040J01Rik	832.881147664351	-0.108079335583728	0.231373650221281	-0.467120328872209	0.640413790535173	0.875841958507516
1110004F10Rik	1062.32254587302	-0.140647743089741	0.125014626743651	-1.12505029813948	0.260567720874483	0.615773241103139
1110038F14Rik	148.535983208562	0.277225315247303	0.1471645321618	1.88377804879308	0.0595950039800901	0.29578568359478
1110059E24Rik	450.793845523213	-0.107447539931988	0.228935663541182	-0.469335088600819	0.638830138147453	0.875714497055005
1110059G10Rik	230.281462177183	0.115807183720391	0.25088267387069	0.461598969485157	0.64436893372323	0.878207122102971
1110065P20Rik	206.926743592606	0.234453187108085	0.282637000529776	0.829520503927743	0.406809939387271	0.737020693966224
1190005I06Rik	94.4746201236742	0.339850359433433	0.36754536205102	0.924648749577357	0.355148646282568	0.699077979661627
1500011B03Rik	30.3251726834207	1.07550914055349	0.385819103542227	2.78759950111123	0.00531001448121545	0.0693246049003038
1600012H06Rik	717.982030169848	-0.0599456096260778	0.146934141343438	-0.407976043402761	0.683291263050315	0.892685880767012
1600014C10Rik	4916.41981858363	-0.219678111721483	0.247635221865196	-0.887103660242112	0.375023093622084	0.715783505056036
1700003E16Rik	31.3464852049525	0.119469956181735	0.391890753509386	0.304855256501667	0.76047639470187	0.925540927099279
1700010I14Rik	9.88599593817099	1.25269408650297	0.748107186643158	1.67448476484226	0.0940353661354887	0.375628699746305
1700017B05Rik	195.848534562419	0.230619321695414	0.379003202890054	0.608489110215555	0.542863126296856	0.828067482162202
1700019D03Rik	12.1259689105366	-0.0715870633368599	0.619918749043689	-0.115478138783982	0.908066147267989	0.975305331004013
1700025G04Rik	119.937207309627	-0.227050230624939	0.318776959601681	-0.712254207169312	0.476307375176528	0.78881116045692
1700030J22Rik	9.49573027083694	0.62794808866429	0.588771435525149	1.0665396633996	0.286179758911039	0.635044033974374
1700030K09Rik	74.2572903084849	0.13991432306161	0.242484860501897	0.577002303451085	0.563937899469912	0.837963166825587
1700037C18Rik	13.2371567631005	0.161736909668	0.590770686479534	0.273772740201121	0.784259273692975	0.933087393815787
1700056E22Rik	17.2722674718788	0.37651967187432	0.521444659523727	0.722070242733377	0.470251292309563	0.785958427798859
1700066M21Rik	599.622800983068	0.239610468717963	0.254944507119502	0.939853427026961	0.347292749376804	0.691648118604823
1700067K01Rik	8.99343021494883	0.868305857659773	0.668017443359039	1.29982512626259	0.193660911716536	0.536922816289342
1700123O20Rik	566.403331991561	0.395803957690958	0.13553883279542	2.92022551417701	0.00349778172333457	0.053258371598025
1810009A15Rik	385.068571176697	0.190213745018842	0.205974665004728	0.923481268992355	0.355756457252083	0.699836587397577
1810010H24Rik	61.8086962110585	-0.13492426136432	0.381021608316044	-0.354111836230571	0.723255072054702	0.906888682019142
1810024B03Rik	23.7828195387065	0.217753643571363	0.384348364930293	0.566552803238427	0.57101804845505	0.842596686093139
1810030O07Rik	268.503596244748	0.0778404273413921	0.17919762448418	0.434383142998997	0.664010236743966	0.885605629735477
1810037I17Rik	530.777849905438	-0.0248182787908705	0.263635329734718	-0.094138668045151	0.924999004097501	0.980244614026761
1810055G02Rik	728.349529907612	0.111416799244538	0.478604407685039	0.232795180018191	0.815920455901804	0.945143159417636
1810062G17Rik	8.40148322313709	0.407153332287711	0.67721029554737	0.601221415215816	0.547692522702771	0.829714089471732
2010003K11Rik	261.848134997426	1.70198612149438	0.363157551111909	4.68663288504749	2.77736511584877e-06	0.000329930958716954
2010315B03Rik	296.852182316284	0.194895250717874	0.302295403663855	0.644717876473544	0.519110029490537	0.816203430428863
2200002D01Rik	143.849853554867	0.0311653226441119	0.420719012843012	0.0740763352564268	0.940949645245776	0.98341493120561
2210016L21Rik	357.266405117083	0.0438603236456808	0.204678579240728	0.214288782970764	0.83032186477431	0.950554886723376
2210408I21Rik	43.2676233659055	-0.0472997143823574	0.376386212788033	-0.125668031334067	0.899994708503431	0.972885858651786
2300009A05Rik	109.067943716687	0.159708491569036	0.342132974298954	0.466802394292119	0.640641262688078	0.875841958507516
2310009B15Rik	56.6781018442628	0.0744689750487803	0.342785275752725	0.217246714828264	0.8280160807337	0.949759216684556
2310011J03Rik	396.819252556001	0.192584746332197	0.168565172585336	1.14249428502024	0.2532486202159	0.607593942170099
2310022A10Rik	146.400180988073	0.316143262739757	0.17046115902386	1.85463518229103	0.0636483405088034	0.305299024353976
2310022B05Rik	497.509029567565	-0.393694928080544	0.168419280741371	-2.33758822830453	0.0194086191913956	0.153063428623052
2310030G06Rik	338.09647790876	0.0354138187653435	0.231230564833185	0.153153709549133	0.878277061340931	0.967111836857835
2310033P09Rik	155.332544412868	0.317121334862582	0.223753227704769	1.41728161026132	0.1564006095647	0.4880133771722
2310039H08Rik	545.100469870936	0.214288597503613	0.280446894046908	0.76409688269812	0.444809509849927	0.76744260831275
2310057M21Rik	73.0156498310066	-0.284388287311037	0.267659817703837	-1.06249899499562	0.288009214008695	0.636555396566989
2310061I04Rik	434.871794816813	0.0584929161929536	0.325434818670986	0.179737731911501	0.85735847001944	0.959409226332955
2410002F23Rik	172.399514893837	0.410340903294835	0.239430904227341	1.71381762358135	0.0865622256760096	0.359612321286661
2410004B18Rik	127.174503966296	0.20044727288953	0.194872402196499	1.02860779992546	0.303664011203556	0.652211925379002
