gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
0610010K14Rik	443.239451671736	-0.198002290955565	0.168892919612197	-1.17235400637402	0.241054957136845	0.950445198462393
0610030E20Rik	1531.1041269164	-0.252531853141527	0.132918784670181	-1.89989589333177	0.0574467830709854	0.756252740102332
0610040J01Rik	49.8131820694522	0.0240316554994357	0.279582779498844	0.0859554209401337	0.931501854947744	0.99926640780295
1110002E22Rik	1292.0195364762	0.274110286334086	0.441913963289751	0.620279758289419	0.535073619029266	0.982949819050432
1110004F10Rik	1855.63570461998	0.0523451434075614	0.112558226161647	0.465049469884034	0.641896030498152	0.989960365487836
1110025L11Rik	606.489342284469	5.63694010345481	3.45626320390979	1.63093484809785	0.102904067639581	0.853174785971681
1110032F04Rik	11.4455859496739	-0.883641111402304	0.616710136795733	-1.43283052876911	0.151906274553988	0.906298257810937
1110038F14Rik	456.103437158017	0.0322577876213561	0.103954017463736	0.310308234432682	0.756326569848485	0.991808804870039
1110059E24Rik	521.484980224151	0.18710256877986	0.126784964916631	1.47574729308708	0.140011744818236	0.893918861184294
1110059G10Rik	484.831961821841	0.000147838040603179	0.123809320897817	0.00119407843877274	0.999047263475721	0.999616544853214
1110065P20Rik	228.268266263507	0.191650660239233	0.22547710670616	0.849978354959958	0.39533712034407	0.971427043595636
1190005I06Rik	65.3349784761488	-0.411510993530429	0.247642988750563	-1.66171065696886	0.0965708033165729	0.838054829805591
1500009L16Rik	32.322883745338	-0.31993428744258	0.383433933678961	-0.834392210342165	0.404060005359024	0.971427043595636
1500011B03Rik	215.022438453556	-0.0509583202200598	0.156062849030119	-0.326524349239743	0.744027669902946	0.991808804870039
1600012H06Rik	1188.55490382801	-0.0516997297868124	0.0988995183922684	-0.522750066201071	0.601148192405765	0.987371877491609
1600014C10Rik	1098.4649370096	-0.162299486727075	0.172772376762432	-0.939383307496216	0.347533980210521	0.965560892732001
1700001O22Rik	15.8617583514214	-0.569277189000409	0.39497252726158	-1.44130831819447	0.149497598339251	0.902923608786647
1700003E16Rik	26.2950170938267	-0.313158145942447	0.323905196941528	-0.966820381085081	0.333633833976024	0.965560892732001
1700010I14Rik	8.15212910258203	0.317040423039497	0.525012865550178	0.603871721709639	0.545928930825518	0.984823526126577
1700017B05Rik	373.920331835275	-0.0719982974249813	0.156757475645668	-0.459297377228281	0.646020630951225	0.989960365487836
1700019D03Rik	284.576603701666	0.695689067256779	0.293527529525059	2.37009819277407	0.0177833616432072	0.519215578461419
1700020L24Rik	81.2761727192685	-0.21758675460567	0.311272550025875	-0.699023266226278	0.484537490847149	0.97610748200538
1700025G04Rik	1960.39061556238	0.0636803533848413	0.170988233945928	0.372425352992295	0.709576180402979	0.991808804870039
1700028J19Rik	6.04865300166091	-0.666447731076176	0.692860643416486	-0.961878463452523	0.33611065802133	0.965560892732001
1700030J22Rik	16.0845065807981	0.588418506195396	0.387023513554509	1.52036888092724	0.128418291051001	0.882525027452582
1700030K09Rik	224.196958007121	-0.0344632628024052	0.152045684277065	-0.226663867286128	0.820685125581207	0.995972919128938
1700037C18Rik	63.5541809575823	-0.0690144345963723	0.330041371325162	-0.209108434858544	0.834363590198272	0.997179114979159
1700056E22Rik	16.7755868271762	0.0412283612792114	0.486743235218273	0.084702484382188	0.93249792081664	0.99926640780295
1700066M21Rik	249.30648506348	0.13544645666334	0.165102162739044	0.820379663211459	0.411999705225622	0.971427043595636
1700088E04Rik	33.606020319221	0.229249585275629	0.269758818870854	0.849831661612449	0.395418683996113	0.971427043595636
1700102P08Rik	11.7775592458498	0.242315974993475	0.581870561834813	0.416443090417532	0.677085802665869	0.991808804870039
1700109H08Rik	47.1814675807766	-0.591731473408655	0.455382586457236	-1.29941611955824	0.193801162666588	0.926033502816639
1700113H08Rik	6.83346198173669	0.0885726384702543	0.583467704489171	0.151803840707516	0.879341652799021	0.99813350825584
1700123O20Rik	565.04626037244	0.122610855522708	0.153189372275217	0.800387479246458	0.423486333035146	0.971427043595636
1810009A15Rik	560.457117708556	-0.0474523958539377	0.156519124714776	-0.303173148587497	0.76175791094319	0.991808804870039
1810010H24Rik	48.2598447085932	-0.49469840221533	0.273557397939175	-1.80838977831382	0.0705458576888662	0.788259464835306
1810024B03Rik	26.9305951608757	-0.216595423644058	0.258687833123173	-0.837284927663863	0.402432429352104	0.971427043595636
1810030O07Rik	1165.02349485072	-0.0162307782206553	0.0703512639192961	-0.23071054187846	0.81753968321425	0.995758532570988
1810037I17Rik	1504.44231698288	0.0357076738556456	0.174491146198544	0.204638886462559	0.83785427127609	0.997179114979159
1810049J17Rik	5.93668792205061	-0.564015939008119	4.86932608745074	-0.115830389848342	0.907786964999609	0.99926640780295
1810055G02Rik	354.457524312518	0.113643975857105	0.196164170447712	0.579330953240499	0.562365883611569	0.985942179027167
1810062G17Rik	18.2450674800958	-0.237848860309516	0.470357279893558	-0.505677004432335	0.613083413919969	0.98742339279001
2010003K11Rik	73.6465999149892	-0.158132626657848	0.529003974809614	-0.298925214531251	0.764997107812075	0.991808804870039
2010315B03Rik	502.826019253655	-0.218327860848174	0.166983558545395	-1.3074811840761	0.191049341158337	0.925835679387176
2200002D01Rik	141.240545849723	-0.0957355282267708	0.256481791159927	-0.373264424713393	0.708951651160831	0.991808804870039
2210016L21Rik	584.287870816528	0.0987427414292276	0.12584310395341	0.784649601982043	0.432659039278529	0.972826004059886
2210017I01Rik	165.11485934082	0.80485591064592	1.09801351505023	0.733010932574084	0.463551761481783	0.975992046816416
