gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
0610010K14Rik	192.561182741211	0.614747282898731	0.378355027673708	1.62478951760854	0.104207415359813	0.316174912178975
0610030E20Rik	727.790567216317	0.173188771879637	0.174996040176526	0.989672518903477	0.322334211409067	0.571327602246516
0610040J01Rik	663.082294965113	0.534576722324287	0.301263088770178	1.77445144211508	0.0759885072643913	0.26785642898833
1110004F10Rik	965.759309077725	-0.202907935088306	0.202515445646093	-1.0019380716417	0.316373503535206	0.566159846433033
1110038F14Rik	122.450034763265	-0.0248255382518683	0.203914263306279	-0.121744981686643	0.903100987943948	0.954787762670516
1110059E24Rik	447.35108454136	0.0516158545378026	0.304817573422967	0.169333591755158	0.865534255085859	0.935521261456711
1110059G10Rik	273.265059571532	0.184725718898594	0.370528810629724	0.498546168608717	0.61809913649616	0.794180596628896
1110065P20Rik	268.953967390427	0.898654061479699	0.454792902846438	1.97596324800858	0.0481589398421879	0.213761242273503
1190005I06Rik	100.45605466339	1.87815187644108	0.494903081588567	3.7949892540828	0.000147649851099517	0.014052414089428
1500011B03Rik	31.4424752052918	-0.496694198095449	0.56733682871112	-0.875483791919242	0.381310725404079	0.623522792263095
1600012H06Rik	643.384881997177	-0.125270999364421	0.223402850986575	-0.560740379145602	0.574974536041449	0.76610746264598
1600014C10Rik	3796.90390848879	0.558640392837362	0.312212202242959	1.78929711530824	0.0735669783979768	0.264575217491519
1700003E16Rik	19.3272845932322	0.679466442663335	0.554913810931864	1.22445401299764	0.220781004223492	0.466570830164335
1700010I14Rik	7.06702013619284	-0.575424331447271	0.687405392410381	-0.837096039397583	0.402538586481637	0.641541292907392
1700017B05Rik	585.774753417354	-2.79471671491478	0.726871629847226	-3.84485595551745	NA	NA
1700019D03Rik	7.38741417298104	0.9000316924394	0.679221866974051	1.32509233904536	0.18514052676127	0.426860039015611
1700025G04Rik	66.9248894873199	-0.480511594371072	0.367246572825643	-1.30841682380846	0.190731969384164	0.434004450085172
1700030J22Rik	8.81613348734731	1.23323386189706	0.565698628119045	2.18001918441553	0.0292560395211734	0.167139893705961
1700030K09Rik	78.7301985405475	0.857840318684618	0.261142401824402	3.28495224326476	0.00101999658830069	0.0345463508637883
1700037C18Rik	24.4741759031038	0.141035944839718	0.852587647396696	0.165421051161554	NA	NA
1700056E22Rik	16.8122631727154	1.70419583598549	0.516942288147144	3.29668490092729	0.000978331937231642	0.0338300199832766
1700066M21Rik	601.459745209037	0.0550667289200055	0.349154954998887	0.157714298856738	0.874681932655729	0.939804234110187
1700088E04Rik	8.66752447960959	1.0449211181687	0.708082863525875	1.47570457074127	0.140023218400965	0.367005577824442
1700102P08Rik	5.99538911671746	1.10690426741796	1.04716963445982	1.05704389336017	0.290491555572775	0.541179587360685
1700109H08Rik	11.4247950278315	0.610056684833667	0.804111431209864	0.758671822281866	0.448048896809328	0.678583280753426
1700123O20Rik	515.06711885582	0.165856973581701	0.217958810864086	0.760955581121816	0.44668359866661	0.677218329087759
1810009A15Rik	342.777940759302	0.165403747076966	0.260234123910372	0.635595918750199	0.525039830275479	0.734541236774407
1810010H24Rik	96.6226803301214	0.423064901284118	0.590028386971882	0.717024656144687	0.473358883185848	0.699257178243496
1810024B03Rik	30.61784224759	1.68199172202556	0.494160727510622	3.40373410590263	0.000664714249478103	0.0292395284978189
1810030O07Rik	183.979111715335	-0.329886969385832	0.197859201301653	-1.66728141635875	0.0954584601079154	0.303792443677577
1810037I17Rik	523.1299431927	0.690038822154738	0.280915424746423	2.45639349557833	0.0140339394445248	0.119627219544675
1810055G02Rik	806.319067604792	0.265192408403781	0.507424476186134	0.522624392100673	0.60123566274262	0.783774602797647
1810062G17Rik	8.73345224635772	0.572221759953482	0.597891676163046	0.957065941485756	0.338533972884847	0.586126348081959
2010003K11Rik	674.665209348446	1.43920100296	0.692479407868678	2.07833039741873	0.0376789385587301	0.188640140628168
2010315B03Rik	356.79294642199	0.380148449968802	0.36961987938393	1.02848486018236	0.303721808916861	0.552200222070389
2200002D01Rik	413.258941778156	1.81549967709322	0.609157002937979	2.9803477073021	0.00287921363310089	0.0555504227129135
2210016L21Rik	309.177323814476	0.96481025332506	0.315727605565228	3.05583115419325	0.00224437605786675	0.0503594015452152
2210408I21Rik	36.9478630487944	-0.180187984869357	0.367256935269186	-0.490631946098677	0.623686787398546	0.797624689332444
2300009A05Rik	118.785013613391	1.29627524358494	0.378897425707236	3.42117722538063	0.000623506871873295	0.0282384112247719
2310009B15Rik	69.1352690430505	1.52522618779245	0.452196999025715	3.37292417039175	0.000743744322724199	0.0307180438196844
2310011J03Rik	336.766464612849	0.436687492145143	0.305845260307055	1.42780532778807	0.153347898919064	0.386205431751951
2310022A10Rik	115.55750069636	-0.0568447556073508	0.322473192813478	-0.176277460806581	0.860075968421817	0.933330120530855
2310022B05Rik	378.585623921117	0.137511170719031	0.318549635130067	0.431678945929051	0.66597477158167	0.824775971050512
2310030G06Rik	319.77039277363	0.0797079636188266	0.17258986893661	0.46183454515573	0.644199975810946	0.810873385764227
2310033P09Rik	172.711700285779	-0.100531323132454	0.332929879659834	-0.301959449344619	0.762682975576814	0.883729881008018
2310039H08Rik	573.783148471986	1.34080706268016	0.434941198840105	3.08273179513875	0.00205109922565293	0.0479344078820739
2310057M21Rik	69.5383832302558	-0.410181991683465	0.298071077017576	-1.3761214130121	0.168784047134908	0.406167302293702
2310061I04Rik	443.235085847568	0.728776210776434	0.340276282526988	2.14171909180486	0.0322160934590479	0.175522120512274
