gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
0610010K14Rik	233.595277855107	-0.315577943962509	0.170996081762416	-1.84552734021693	0.0649608651552646	0.490345079518459
0610030E20Rik	475.047361306742	0.0124680454721566	0.17599094555241	0.0708448121181531	0.943521266486748	0.994678973832865
0610040J01Rik	275.283915874225	0.964064450292048	0.232254993397032	4.15088793653626	3.31187903819067e-05	0.00607819313752263
1110002E22Rik	4423.5195543036	-0.672820607346972	0.228351227310645	-2.94642868913369	0.00321466532837539	0.116422319532443
1110004F10Rik	1082.16752256204	0.0823575192249717	0.119858960587208	0.687120252182142	0.492006953010521	0.909621491933796
1110038F14Rik	273.839142409328	-0.174387968216323	0.173143304775266	-1.0071886316521	0.313844135119061	0.830442286396599
1110059E24Rik	198.535437024914	-0.13872140451025	0.239695368051298	-0.578740447252039	0.562764319755192	0.934340125500644
1110059G10Rik	188.419850956226	-0.170426316582603	0.170318758600817	-1.0006315098975	0.317004990547106	0.833496558843039
1110065P20Rik	214.825090789927	0.156343739613757	0.221245727796312	0.706652016158676	0.479782755477486	0.905367458960642
1190005I06Rik	10.8891128398552	0.0706528857811151	0.529937061647127	0.13332316400275	0.893937808905678	0.988004110366002
1500009L16Rik	14.8486496551853	1.65176766825978	0.537677322479141	3.07204265309861	0.00212599344061959	0.0956063474074658
1500011B03Rik	42.2643656269481	-0.279239822983672	0.28686665009939	-0.973413336429746	0.330347913271987	0.841250729462546
1600012H06Rik	320.864118027468	-0.277974139510084	0.140334693267143	-1.98079415031698	0.0476143630936339	0.437182709111466
1600014C10Rik	817.588073407481	-0.0291372064927422	0.145725912921527	-0.19994526648416	0.841523387639037	0.978645927111345
1700001O22Rik	26.6691408736357	-0.682177332387201	0.663338213022314	-1.0284004735368	0.303761485876164	0.825662595532292
1700017B05Rik	108.163966917997	-0.00164786054820559	0.246165671901106	-0.0066941118779047	0.994658911374402	0.999105203263044
1700019D03Rik	60.9301327392815	-0.167889958615058	0.335018062820126	-0.501137034826683	0.616274684089206	0.940809268054588
1700020L24Rik	13.8371205867806	-0.518836802435878	0.552579451133535	-0.938936113841297	0.347763546056419	0.846603255278758
1700025G04Rik	2721.07395005509	-0.156950362985725	0.157146842196291	-0.998749709457602	0.317915953534657	0.833496558843039
1700030K09Rik	109.751954251735	-0.0815389530829856	0.181101515880905	-0.450238931940287	0.652538167025684	0.947719051050777
1700037C18Rik	36.7698839105333	-0.90952613686599	0.426418485157102	-2.1329425635263	0.0329294381647569	0.380284608601669
1700056E22Rik	9.32573307710165	-1.84702849694092	0.618626625370318	-2.98569188779301	0.00282937562143308	0.110102436431755
1700066M21Rik	106.187300486907	0.497643191502871	0.247839745288149	2.00792326882151	0.0446514461033444	0.42688422191191
1700088E04Rik	29.2025196723032	-0.538131535390482	0.410651268808507	-1.31043436673617	0.190048933941147	0.72644372976491
1700109H08Rik	49.10745401287	0.443085953877176	0.498561419024725	0.888728924801143	0.374148782016823	0.860383614425218
1700113H08Rik	14.1486695814197	-0.368056152895096	0.500275110807611	-0.73570750361922	0.46190872217956	0.895002425870217
1700123O20Rik	196.671942029162	-0.0893431288449179	0.177575439167995	-0.503127736941115	0.614874466766298	0.940809268054588
1810009A15Rik	250.341855979875	0.0542139731563282	0.210630384516272	0.257389138232997	0.796878386940291	0.972443300882155
1810010H24Rik	21.4418584863208	-0.00387218584721063	0.346896654443968	-0.0111623614630048	0.99109390907427	0.999105203263044
1810024B03Rik	16.07280669947	0.0831618138088823	0.468609972330146	0.177464882779518	0.85914324687083	0.982183791209147
1810030O07Rik	504.304528278914	0.00619543680072467	0.126725382010765	0.0488886811972551	0.961008009173058	0.996578584918243
1810037I17Rik	539.560344662329	0.199069699255743	0.188880217624935	1.05394679103474	0.291907278672164	0.819303558491488
1810049J17Rik	17.1123523617948	-7.24077813683605	4.83080353374325	-1.4988765505074	0.133905660772251	0.653692587687973
1810055G02Rik	152.325912540679	-0.234480186306326	0.240281224935139	-0.975857295423817	0.329135187053555	0.841013165639573
2010315B03Rik	182.068869930963	-0.133906985480509	0.256426681424455	-0.522203792275644	0.601528445896949	0.939832763142257
2200002D01Rik	23.1853067445563	-0.323349732398231	0.547934443983939	-0.590124851519115	0.555106948835614	0.932133538038041
2210016L21Rik	413.593244441671	0.189625797521305	0.154164645116161	1.23002130208534	0.218689127946174	0.759520903555199
2210408I21Rik	59.6339251947662	0.371210995287754	0.268063312825106	1.38478850901147	0.166117145615773	0.697385925505377
2300009A05Rik	80.4102025219147	-0.21456196122819	0.259074041564106	-0.828187802733211	0.407564150376446	0.874842536156553
2310002L09Rik	2452.12267372289	0.0508911980846548	0.224023251852268	0.227169267760719	0.820292123775338	0.976541666636822
2310009B15Rik	129.415467822788	0.0309745400864432	0.208811869669444	0.148337065969846	0.882076764506432	0.986280450799164
2310011J03Rik	264.686454290613	-0.0331217305902254	0.244968543048048	-0.135208097244261	0.892447345209801	0.987640759068963
2310022A10Rik	1948.51729238322	0.0165259325548563	0.171242379509503	0.0965060903859913	0.923118637077262	0.992076775353825
2310022B05Rik	403.058026319922	-0.34366722677212	0.247016654570232	-1.39127148074305	0.164143118568818	0.69484585137919
2310030G06Rik	135.330211332376	0.676652329754888	0.258980988332587	2.61274904428861	0.00898172269590985	0.203416875703138
2310033P09Rik	79.4977265259492	-0.445908165489749	0.250680336883454	-1.77879195087032	0.0752738773125653	0.524881455713886
2310034G01Rik	10.870764582563	1.1526083407261	0.533272862482332	2.16138570292294	0.0306655575741539	0.371515555231564
